Time,Type,Event,Domin,DominPerformer,Alquist,AlquistPerformer
6:00 PM,Schedule,SM/Crew Call,,,,
6:30 PM,Schedule,Actors Call,,,,
7:00 PM,Schedule,Show Time,,,,
7:00 PM,Run,Show,Performance,,,
