Run,Time,Domin,DominPerformer,Alquist,AlquistPerformer,Notes
Run 1,,Shirt,,Muppet,,Monday Q2Q sequence
Run 2,,Muppet,,Shirt,,Monday Q2Q sequence
Run 3,,Animatronic,,Robot,,Monday Q2Q sequence
Run 4,,Robot,,Animatronic,,Monday Q2Q sequence
