Time,Type,Event,Domin,DominPerformer,Alquist,AlquistPerformer
5:30 PM,Schedule,Tech Call,,,,
6:00 PM,Schedule,Actors Call,,,,
6:45 PM,Schedule,Runs Start,,,,
6:45 PM,Run,Run 1,Shirt,,Muppet,
6:59 PM,Run,Run 2,Muppet,,Shirt,
7:13 PM,Run,Run 3,Animatronic,,Robot,
7:27 PM,Run,Run 4,Robot,,Animatronic,
8:00 PM,Schedule,Break,,,,
9:30 PM,Schedule,Q2Q,,,,
11:00 PM,Schedule,Hard Out,,,,
